"timestamp","wait_time","acayear"
"2015-02-07 21:50:41",20,"2014-2015"
"2015-02-07 21:15:48",45,"2014-2015"
"2015-02-07 21:06:00",20,"2014-2015"
"2015-02-07 20:57:37",20,"2014-2015"
"2015-02-07 20:30:42",25,"2014-2015"
"2015-02-07 20:02:52",8,"2014-2015"
"2015-02-07 19:32:33",20,"2014-2015"
"2015-02-07 19:01:31",0,"2014-2015"
"2015-02-07 01:36:39",30,"2014-2015"
"2015-02-07 00:54:00",45,"2014-2015"
"2015-02-07 00:03:54",40,"2014-2015"
"2015-02-06 23:34:47",35,"2014-2015"
"2015-02-06 22:55:19",35,"2014-2015"
"2015-02-06 22:04:42",35,"2014-2015"
"2015-02-06 21:35:24",25,"2014-2015"
"2015-02-06 20:57:34",25,"2014-2015"
"2015-02-06 20:34:03",15,"2014-2015"
"2015-02-06 19:53:09",30,"2014-2015"
"2015-02-06 19:22:08",40,"2014-2015"
"2015-02-06 19:00:47",0,"2014-2015"
"2015-02-06 01:20:30",40,"2014-2015"
"2015-02-06 00:48:28",35,"2014-2015"
"2015-02-06 00:46:21",47.5,"2014-2015"
"2015-02-06 00:16:32",50,"2014-2015"
"2015-02-05 23:38:36",50,"2014-2015"
"2015-02-05 23:17:02",50,"2014-2015"
"2015-02-05 22:45:45",40,"2014-2015"
"2015-02-05 22:17:01",45,"2014-2015"
"2015-02-05 21:46:59",45,"2014-2015"
"2015-02-05 21:11:11",42.5,"2014-2015"
"2015-02-05 20:43:22",42.5,"2014-2015"
"2015-02-05 20:06:06",30,"2014-2015"
"2015-02-05 19:34:17",45,"2014-2015"
"2015-02-05 19:32:11",40,"2014-2015"
"2015-02-05 19:02:37",25,"2014-2015"
"2015-02-05 19:02:26",0,"2014-2015"
"2015-02-05 01:47:35",30,"2014-2015"
"2015-02-05 01:18:25",30,"2014-2015"
"2015-02-05 00:38:18",37.5,"2014-2015"
"2015-02-04 23:30:55",45,"2014-2015"
"2015-02-04 23:08:05",47.5,"2014-2015"
"2015-02-04 22:04:24",47.5,"2014-2015"
"2015-02-04 21:32:49",47.5,"2014-2015"
"2015-02-04 21:01:54",40,"2014-2015"
"2015-02-04 20:30:35",45,"2014-2015"
"2015-02-04 20:02:40",30,"2014-2015"
"2015-02-04 19:29:47",30,"2014-2015"
"2015-02-04 19:00:31",0,"2014-2015"
"2015-02-04 01:11:46",25,"2014-2015"
"2015-02-04 00:32:13",35,"2014-2015"
"2015-02-04 00:04:46",40,"2014-2015"
"2015-02-03 22:37:21",40,"2014-2015"
"2015-02-03 22:06:49",40,"2014-2015"
"2015-02-03 21:34:57",40,"2014-2015"
"2015-02-03 20:59:39",40,"2014-2015"
"2015-02-03 20:26:58",40,"2014-2015"
"2015-02-03 19:57:38",40,"2014-2015"
"2015-02-03 19:17:12",11.5,"2014-2015"
"2015-02-03 19:00:18",0,"2014-2015"
"2015-02-03 01:19:21",35,"2014-2015"
"2015-02-03 00:09:21",40,"2014-2015"
"2015-02-02 22:52:24",50,"2014-2015"
"2015-02-02 22:00:49",60,"2014-2015"
"2015-02-02 21:01:25",50,"2014-2015"
"2015-02-02 20:17:07",45,"2014-2015"
"2015-02-02 19:19:20",40,"2014-2015"
"2015-02-02 19:04:36",0,"2014-2015"
"2015-02-01 01:01:21",25,"2014-2015"
"2015-02-01 00:31:26",40,"2014-2015"
"2015-02-01 00:06:18",40,"2014-2015"
"2015-01-31 23:05:21",40,"2014-2015"
"2015-01-31 22:34:23",40,"2014-2015"
"2015-01-31 21:59:58",35,"2014-2015"
"2015-01-31 21:30:55",30,"2014-2015"
"2015-01-31 21:00:13",25,"2014-2015"
"2015-01-31 20:46:29",15,"2014-2015"
"2015-01-31 20:17:30",15,"2014-2015"
"2015-01-31 19:32:52",20,"2014-2015"
"2015-01-31 19:00:32",0,"2014-2015"
"2015-01-31 01:39:15",30,"2014-2015"
"2015-01-30 23:58:16",37.5,"2014-2015"
"2015-01-30 23:07:46",37.5,"2014-2015"
"2015-01-30 22:36:08",45,"2014-2015"
"2015-01-30 22:06:12",45,"2014-2015"
"2015-01-30 21:26:31",35,"2014-2015"
"2015-01-30 21:26:17",35,"2014-2015"
"2015-01-30 20:40:35",25,"2014-2015"
"2015-01-30 20:07:10",30,"2014-2015"
"2015-01-30 19:28:41",25,"2014-2015"
"2015-01-30 19:04:14",0,"2014-2015"
"2015-01-30 19:04:12",0,"2014-2015"
"2015-01-30 01:34:00",10,"2014-2015"
"2015-01-30 00:56:45",20,"2014-2015"
"2015-01-30 00:27:54",25,"2014-2015"
"2015-01-29 23:28:12",30,"2014-2015"
"2015-01-29 22:57:30",30,"2014-2015"
"2015-01-29 22:24:52",40,"2014-2015"
"2015-01-29 21:54:51",20,"2014-2015"
"2015-01-29 21:14:49",20,"2014-2015"
"2015-01-29 20:41:42",20,"2014-2015"
"2015-01-29 19:29:19",25,"2014-2015"
"2015-01-29 19:00:42",0,"2014-2015"
"2015-01-29 01:43:58",30,"2014-2015"
"2015-01-29 01:07:07",20,"2014-2015"
"2015-01-29 00:34:48",25,"2014-2015"
"2015-01-28 23:25:07",25,"2014-2015"
"2015-01-28 22:37:47",37.5,"2014-2015"
"2015-01-28 22:07:33",40,"2014-2015"
"2015-01-28 21:35:06",37.5,"2014-2015"
"2015-01-28 21:03:08",35,"2014-2015"
"2015-01-28 20:00:19",20,"2014-2015"
"2015-01-28 19:31:17",30,"2014-2015"
"2015-01-28 19:00:12",0,"2014-2015"
"2015-01-28 02:00:31",20,"2014-2015"
"2015-01-28 01:29:32",30,"2014-2015"
"2015-01-28 00:47:24",40,"2014-2015"
"2015-01-28 00:08:50",40,"2014-2015"
"2015-01-27 23:37:32",40,"2014-2015"
"2015-01-27 22:54:45",40,"2014-2015"
"2015-01-27 22:29:02",40,"2014-2015"
"2015-01-27 21:57:07",40,"2014-2015"
"2015-01-27 21:24:58",40,"2014-2015"
"2015-01-27 20:53:32",40,"2014-2015"
"2015-01-27 20:13:34",35,"2014-2015"
"2015-01-27 19:46:18",40,"2014-2015"
"2015-01-27 19:33:24",35,"2014-2015"
"2015-01-27 19:11:20",0,"2014-2015"
